URL,Country name,City,Settlement,Established,Last updated,History,Priorities,Population,Structures,Eviction,Status,Total number of toilets seats,Toilet wrk,Working toilet seats to people,Types of toilets,Water tot,Water wrk,Water pp,Electric,Water Cost,Trash pw,Trash location,Road type,Trans type,Saving tot,Lead,Lead freq,City Relat,City freq,Diseases,Acc Clin,Time Clin,Acc aids,Time aids,Acc hosp,Time hosp,Facilities
https://sdinet.org/settlement/163997/10366758,Namibia,Windhoek,7 De Laan Yokohama,2004,08-11-2017,History: The settlement was established by the municipality,"Waterdrainage, Sanitationsewage, Housing, Landtenure, Waterdrainage, Waterdrainage, Sanitationsewage, Housing, Landtenure, Waterdrainage","7,740",2591,None,"declared, legal, protected",3200,"3200,Broken toilets:0",1:2,Flush,3200,"3200,",1:2,yes,N/A,N/A,Common area outside settlement,gravel roads,"Bus, Taxi, Walking",N/A,Yes,month,average,month,"TB, AIDS, Running stomach, High fever",yes,15 minutes,yes,15 minutes,yes,more than 1 hour,"Firestations, Policestations, Generalshops, Churches"
https://sdinet.org/settlement/163997/31089791,Namibia,220038_karasburg,Plakkerskamp,1980,19-06-2018,"History: When old people came and lived there, they make it possible for us and then many people came and lived also here. Our Plakkerskamp was established 1980 by our old old people","Tenuresecurity, Housing, Electricity, Other, Other, Tenuresecurity, Housing, Electricity, Other, Other","2,860",288,None,"declared, legal, protected",286,"0,Broken toilets:286",1:1,Flush,286,"286,",1:10,yes,600,2,Individual bins,gravel roads,"Taxi, Bicycle, Walking",2,N/A,N/A,N/A,N/A,"Tb, Hiv, Diarrhrea, Other",yes,more than 1 hour,yes,more than 1 hour,yes,more than 1 hour,Churches
https://sdinet.org/settlement/163997/28320705,Namibia,Windhoek,Kilimandjaro,1994,08-08-2018,History: First people who came at Kilimandjaro where from single quaters and the second people came from Ombili and Havana . We were looking for our own erfs but its still municipality.,"Electricity, Tenuresecurity, Housing, Waterdrainage, Sanitationsewage, Electricity, Tenuresecurity, Housing, Waterdrainage, Sanitationsewage","6,044",1524,None,resettled,N/A,NA,1:1,N/A,N/A,N/A,N/A,no,200,N/A,Common area inside settlement,gravel roads,"Bus, Taxi",8,Yes,month,average,bi_annually,"Hiv, Tb, Other, Diarrhrea",yes,5 minutes,yes,5 minutes,yes,more than 1 hour,"Playground, Churches"
https://sdinet.org/settlement/163997/24049852,Namibia,Gobabis,Kanaan C,1980,14-01-2018,"History: The settlement was established by community members that first came to settle there, It was established the same year Kanaan B and Kanaan A","Tenuresecurity, Housing, Electricity, Sanitationsewage, Waterdrainage, Tenuresecurity, Housing, Electricity, Sanitationsewage, Waterdrainage","2,980",599,None,N/A,N/A,NA,1:1,N/A,N/A,N/A,N/A,no,200,1,Common area inside settlement,dirt paths,Taxi,1,Yes,quaterly,bad,year,"Tb, Diarrhrea, Hiv, Other",yes,30 minutes to 1 hour,no,Unknown,yes,more than 1 hour,N/A
https://sdinet.org/settlement/163997/24047157,Namibia,Gobabis,Freedom Square,1970,14-01-2018,History: N/A,"Sanitationsewage, Housing, Waterdrainage, Tenuresecurity, Electricity, Sanitationsewage, Housing, Waterdrainage, Tenuresecurity, Electricity","4,068",1068,None,"declared, legal, protected",N/A,NA,1:1,N/A,10,N/A,1:407,no,200,1,Skip,gravel roads,"Taxi, Walking",3,N/A,quaterly,good,quaterly,"Tb, Hiv, Other, Malaria",yes,Unknown,no,Unknown,yes,Unknown,N/A
https://sdinet.org/settlement/163997/10366710,N/A,N/A,N/A,1970,01-01-1970,History: N/A,N/A,N/A,N/A,None,N/A,N/A,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Unknown,N/A,Unknown,N/A,Unknown,N/A
https://sdinet.org/settlement/163997/10366711,Namibia,Okakarara,DRC,2000,14-01-2018,History: Location given by the town council for informal settlement,"Waterdrainage, Sanitationsewage, Housing, Landtenure, Electricity, Waterdrainage, Sanitationsewage, Housing, Landtenure, Electricity",650,161,high,"undeclared, illegal, unprotected",N/A,NA,1:1,N/A,4,N/A,1:163,no,1600,N/A,N/A,N/A,"Taxi, Walking",N/A,Yes,month,good,month,"Flu, Diarrhoea, TB, BP",yes,more than 1 hour,yes,more than 1 hour,no,Unknown,N/A
https://sdinet.org/settlement/163997/10366681,Namibia,Khorixas,Donkerhok,1970,13-01-2018,History: Its the only informal settlement in kharixas and its  very dark and dangerous,"Housing, Sanitationsewage, Electricity, Landtenure, Other, Housing, Sanitationsewage, Electricity, Landtenure, Other",728,102,None,"declared, legal, protected",N/A,NA,1:1,N/A,2,N/A,1:728,yes,60,N/A,Disorganized deposit,dirt paths,Walking,N/A,Yes,month,good,month,"Tb, Aids, Bp, Cancer",yes,30 minutes to 1 hour,yes,30 minutes to 1 hour,yes,Unknown,"Generalshops, Foodshops"
https://sdinet.org/settlement/163997/10366712,Namibia,Tsandi,Oshikwanambwa,1984,15-01-2018,"History: They were evicted from Okamwandi location by the colonial time ,they come there and they named the location Oshikwanambwa for business.","Landtenure, Waterdrainage, Sanitationsewage, Housing, Electricity, Landtenure, Waterdrainage, Sanitationsewage, Housing, Electricity",136,36,None,resettled,1,"20,Broken toilets:-19",1:3,Flush,10,"10,",1:14,yes,40,N/A,Common area outside settlement,dirt paths,"Taxi, Walking",45,Yes,year,average,month,HIV \\ AIDS,yes,30,yes,30,yes,30,"Generalshops, Foodshops, Clothingshops, Communications, Carrepair"
https://sdinet.org/settlement/163997/10366714,Namibia,Windhoek,Okatunda session,1991,08-11-2017,"History: They individually moved to this place all by them selves, but surely seemed  to be a long time ago","Electricity, Landtenure, Waterdrainage, Housing, Sanitationsewage, Electricity, Landtenure, Waterdrainage, Housing, Sanitationsewage","1,428",NaN,None,"undeclared, illegal, unprotected",N/A,NA,1:1,N/A,N/A,N/A,N/A,no,100,N/A,N/A,gravel roads,"Bus, Taxi, Walking",3,Yes,month,good,month,"Malaria, Influenza, Chicken pox, Diarrhoea",yes,30 minutes,yes,30 minutes,yes,more than 1 hour,N/A
